date,desc,btc_in,btc_out,hash,bal
20140313,PAYMENT RECEIVED,0.05,0,ea7604bdb2203f3d78d6f5084fbd0505168839e54009e0986858b5d24f262bfb,81.42037163
20140313,PAYMENT RECEIVED,0.1,0,db7fc80f58d5b918e131cd51d7eae0bbd93b890466945f2b24ad3469d9a59f3d,81.37037163
20140313,PAYMENT RECEIVED,0.15,0,10632e065c9d9d45c5ca26aa5da6db1315f151df30aac9fc1186b0efce00206d,81.27037163
20140313,PAYMENT RECEIVED,1,0,080e3991511ce64101229dac4d45c46fdea578c20aaa897ff060c342b0651acf,81.12037163
20140313,PAYMENT RECEIVED,0.14012,0,e6638aaf106005c94794ab675caeb2294be1c0e71768d8ac5019132fd0113fae,80.10037163
20140313,PAYMENT RECEIVED,0.02,0,589a815bd7ba27095dc0e4b4f91f2e7931317279eba1c469a6fb6c3b2a10999d,80.12037163
20140313,PAYMENT RECEIVED,0.1,0,e854aacda5d1fbee09358a912ac40234c358da1b4177d9d6c4aabf8ce48a9518,79.96025163
20140313,PAYMENT RECEIVED,0.0495,0,89c33892971957d7503a71f87cde4d8e8d5133d06ce91c9ba4f24a6745846623,79.66947163
20140313,PAYMENT RECEIVED,0.19078,0,8b30de7c1fb0feeb4796cdab816e9d8e3eaf2e7f7fbb05a8bf6db7ded70354a6,79.86025163
20140313,PAYMENT RECEIVED,0.35,0,f6acc41e68224a3d164782388124897d5ec1d90ee47a6b14260821ba432eff10,79.61997163
20140313,PAYMENT RECEIVED,0.3849,0,cd899b3743570ec148937e87773da6a586b143c8dd02945287f83abd200fc7c3,77.83008263
20140313,PAYMENT RECEIVED,0.17,0,2e137bb41a5b27796a73fd16f7d294665126e5876ff512bed9631dfa8381068c,78.00008263
20140313,PAYMENT RECEIVED,0.235889,0,5f303d18f954389f409212748a1af069a70510978fa00d1b63ec041651c61c2b,78.23597163
20140313,PAYMENT RECEIVED,1.034,0,b2d07293506c174e02f68ca11f68b43636ca96d764f1d3a5eab06c5226b9bfa8,79.26997163
20140313,PAYMENT RECEIVED,0.055,0,4dc027e76e6e5fd9147eb45355875a302253950b3c76c9319ec7f89b38e36fe4,77.44518263
20140313,PAYMENT RECEIVED,0.05,0,eb4e230b9eb61fa4db1c0b39ee34a6b9571716caa87059176ab8ee0d0381e66d,77.31818263
